latitude;longitude;date
2.612361111;-72.81783333;43282
4.399722222;-77.00972222;43313
1.867;-77.664;43374
7.527;-75.5;43405
7.582546;-75.400212;43374
8.136211;-75.968474;43374
7.435;-74.937;43374
8.005;-76.283;43405
6.703536;-73.509679;33573
8.407;-73.082;43435
1.2625;-78.56;43435
2.681111111;-72.08777778;43252
2.343233024;-72.6446029;43344
7.001944444;-75.61361111;43221
7.511555556;-75.47508333;43374
2.323055556;-72.92166667;43282
8.981944444;-73.45416667;43221
1.271111111;-78.62194444;43374
1.326666667;-78.59916667;43221
6.934444444;-71.74111111;43405
1.364166667;-78.64305556;43374
8.668611111;-73.22222222;43160
6.793611111;-71.38138889;43374
6.953888889;-77.20777778;43405
0.789722222;-74.99055556;43435
6.919444444;-71.58305556;43132
4.503611111;-71.28638889;43101
1.793385843;-78.76393643;43160
7.342777778;-74.08805556;43344
1.389444444;-78.71722222;43313
6.793055556;-71.77472222;43101
8.63;-72.86222222;43252
2.956666667;-76.26777778;43313
1.326666667;-78.57388889;43344
3.984166667;-73.84361111;43160
6.726666667;-71.44305556;43344
1.296388889;-78.56611111;43374
7.018055556;-72.05555556;43466
4.306388889;-72.11;43160
1.325555556;-78.56416667;43221
1.3225;-78.53888889;43435
1.024444444;-75.18555556;43405
7.6125;-74.01805556;43282
8.408888889;-73.13583333;43435
1.275277778;-78.57166667;43344
3.314166667;-73.36305556;43132
8.321388889;-73.09444444;43435
8.323146597;-73.14882272;43252
2.561388889;-72.74833333;43252
1.2325;-70.23944444;43466
8.594166667;-72.83333333;43282
1.388888889;-78.64694444;43101
6.743611111;-71.36888889;43435
1.387777778;-78.62972222;43282
8.404077714;-73.20816763;43313
1.291666667;-78.615;43313
1.39;-78.65308333;43252
2.977777778;-76.31972222;43374
1.013055556;-74.70527778;43374
6.616666667;-76.72055556;43221
1.331111111;-78.60027778;43435
7.211111111;-76.64305556;43282
2.876111111;-76.33083333;43466
1.266388889;-78.56472222;43252
1.486388889;-78.07777778;43132
7.132012326;-76.97670034;43374
7.535;-75.56944444;43374
8.511388889;-73.3275;43282
1.793385843;-78.76393643;43191
7.217777778;-75.21138889;43374
8.413055556;-73.00055556;43132
6.7944;-71.77155278;43160
6.611944444;-71.32861111;43435
1.324444444;-78.56888889;43252
1.328611111;-78.56666667;43435
1.2175;-70.24083333;43374
1.277222222;-78.63138889;43374
8.403333333;-72.96527778;43405
6.651111111;-71.21055556;43405
6.776111111;-71.31555556;43374
1.334722222;-78.57583333;43191
8.626944444;-73.17;43466
1.330833333;-78.57222222;43435
7.167222222;-75.00805556;43313
1.324722222;-78.56888889;43221
7.59;-75.60166667;43344
2.418333333;-72.17694444;43191
8.317222222;-73.35527778;43252
6.988888889;-77.265;43435
7.336666667;-75.31416667;43252
1.328888889;-78.57;43313
8.986111111;-72.89972222;43132
6.914444444;-77.18277778;43435
6.914444444;-77.18277778;43435
6.914444444;-77.18277778;43435
7.954365833;-73.94485861;33390
8.394722222;-73.10416667;43435
6.615;-71.57277778;43160
1.278611111;-78.64722222;43405
7.678888889;-76.38111111;43466
1.336111111;-78.57416667;43405
2.998333333;-76.27638889;43344
1.305833333;-78.58305556;43405
5.497777778;-76.96972222;43344
2.840833333;-72.13777778;43344
7.011944444;-71.39;43221
6.949722222;-77.19944444;43435
7.266944444;-75.00805556;43282
6.7025;-71.56083333;43466
8.439165509;-73.28963242;43466
2.355277778;-73.34666667;43221
2.636388889;-72.0125;43221
1.283888889;-78.63472222;43221
7.494722222;-73.94;43132
8.399444444;-73.20583333;43252
1.311666667;-78.56111111;43466
8.274464722;-73.85989056;33390
8.448333333;-73.24166667;43282
8.404077714;-73.20816763;43221
8.082680011;-73.22503709;43252
1.355555556;-78.57416667;43344
7.397222222;-74.07944444;43221
8.024166667;-72.50388889;43221
6.814166667;-72.83833333;43191
1.404472222;-78.42791667;43374
1.313055556;-78.66083333;43344
1.335277778;-78.57388889;43221
9.499587842;-75.35514089;43160
1.325555556;-78.56666667;43221
8.732777778;-73.25388889;43435
6.660277778;-71.26583333;43374
6.790833333;-71.15194444;43221
1.225277778;-78.04416667;43252
1.286388889;-78.62944444;43374
7.534166667;-75.19833333;43435
8.404077714;-73.20816763;43221
1.325;-78.57611111;43313
4.3114;-77.02377222;43160
6.930555556;-71.75444444;43405
7.108333333;-75.54916667;43282
1.334444444;-78.57555556;43221
6.8075;-71.75027778;43435
6.468611111;-72.40527778;43374
1.331111111;-78.60027778;43435
8.406111111;-73.09416667;43252
10.47611111;-73.00027778;43313
1.336666667;-78.66055556;43435
8.861944444;-72.85833333;43160
1.277777778;-78.63416667;43405
8.982222222;-73.45416667;43221
1.261111111;-78.55555556;43435
2.138055556;-72.13305556;43282
3.046944444;-76.28333333;43282
8.099159651;-76.73923237;33208
1.964444444;-72.62111111;43435
8.398611111;-73.12666667;43252
8.439165509;-73.28963242;43221
6.817777778;-71.76861111;43132
6.85;-71.78111111;43344
6.813611111;-71.28527778;43221
7.618611111;-75.20833333;43221
8.13;-77.23305556;43132
1.333611111;-78.57305556;43313
8.4775;-73.07305556;43466
6.488611111;-71.40555556;43252
6.6175;-71.57916667;43282
5.192777778;-76.45222222;43282
7.024444444;-71.42935278;43160
2.778257237;-76.31387747;43252
8.398055556;-73.20388889;43252
2.955682271;-76.26254738;43101
1.326944444;-78.56777778;43282
8.400277778;-73.09722222;43435
0.974166667;-78.18944444;43252
6.798055556;-71.77666667;43374
3.863333333;-73.67722222;43313
8.485833333;-73.24555556;43466
7.551111111;-75.14777778;43282
1.391111111;-78.65472222;43435
2.281111111;-72.92;43313
6.789849044;-71.77345006;43313
7.966388889;-76.46027778;43282
1.274166667;-78.61972222;43344
8.390277778;-72.73444444;43282
1.258055556;-78.61666667;43313
7.589444444;-75.60111111;43344
2.136944444;-77.025;43435
1.329444444;-78.57361111;43405
7.202165866;-75.8713528;43374
6.520277778;-71.15805556;43191
1.494944213;-75.46308951;43344
7.643333333;-75.47805556;43252
6.525277778;-71.51027778;43160
1.364722222;-78.58222222;43252
8.323146597;-73.14882272;43313
8.405555556;-73.1;43435
2.792222222;-73.46305556;43405
1.257777778;-78.61555556;43221
8.3975;-73.20583333;43252
8.598611111;-73.21916667;43282
8.547222222;-73.38416667;43405
1.313888889;-78.58;43344
6.566111111;-71.74916667;43101
1.299166667;-78.59694444;43374
6.806388889;-71.28583333;43405
1.3325;-78.65861111;43405
7.454444444;-77.30027778;43132
1.268333333;-78.63888889;43344
8.501388889;-73.2375;43405
1.383055556;-78.73805556;43344
1.356944444;-78.65944444;43344
6.797222222;-71.38333333;43374
6.792777778;-71.77361111;43101
7.678611111;-76.38111111;43466
8.681388889;-73.30583333;43282
1.333333333;-78.6625;43282
1.398888889;-78.64916667;43405
7.057517011;-73.90088512;32874
8.099159651;-76.73923237;32874
6.671944444;-71.14305556;43344
1.296388889;-78.55111111;43374
6.800555556;-71.38361111;43374
7.3875;-74.08472222;43252
1.268888889;-78.63944444;43374
8.404077714;-73.20816763;43221
1.318055556;-78.59777778;43466
1.391666667;-78.71222222;43313
1.261666667;-70.23111111;43435
10.37361111;-73.1775;43160
2.435833333;-75.33222222;43313
8.418055556;-73.15472222;43435
8.679166667;-73.30194444;43282
1.28;-78.09333333;43132
1.28;-78.09333333;43132
1.408611111;-78.45888889;43101
8.409722222;-73.13527778;43435
1.401944444;-78.65361111;43435
1.775277778;-77.56444444;43282
7.586690781;-75.39799472;43132
8.8575;-73.57055556;43313
1.325833333;-78.56722222;43405
2.486111111;-72.9275;43282
8.413333333;-73.1;43435
1.335555556;-78.57666667;43252
7.105555556;-75.24027778;43282
7.422777778;-74.09638889;43313
2.527777778;-76.98611111;43191
1.259722222;-78.56;43435
6.759722222;-74.6175;43374
2.753888889;-71.89166667;43132
1.276944444;-78.60194444;43374
1.270833333;-78.63722222;43344
2.748888889;-72.00361111;43313
6.771666667;-74.70861111;43344
4.692694444;-77.21186111;43132
5.391944444;-76.40222222;43252
7.248611111;-76.44194444;43313
7.171637;-75.764403;43132
1.260555556;-78.52944444;43282
6.826388889;-71.22944444;43466
6.542222222;-71.42083333;43313
1.268055556;-78.55611111;43344
8.406944444;-73.1375;43405
8.509722222;-73.13611111;43466
1.323055556;-78.56972222;43252
6.877222222;-71.79;43344
1.425555556;-78.61694444;43313
1.2775;-78.62833333;43313
1.259444444;-78.55972222;43435
6.660833333;-71.20361111;43252
2.768055556;-71.85722222;43101
7.221944444;-75.1025;43221
1.326111111;-78.56666667;43221
4.256944444;-74.63944444;43101
7.105141468;-73.11699582;33298
1.380277778;-78.73722222;43344
7.221666667;-75.0925;43252
1.325833333;-78.65944444;43282
4.057777778;-75.85166667;43160
2.465555556;-72.93166667;43132
6.712222222;-71.59944444;43132
8.3975;-73.10111111;43435
8.555;-73.22138889;43313
1.329444444;-78.56805556;43344
1.391944444;-78.71305556;43313
1.287222222;-78.60944444;43374
2.486277778;-72.92752778;43282
7.478055556;-75.26194444;43221
1.334444444;-78.57972222;43344
1.270555556;-78.62555556;43374
1.412777778;-78.45166667;43221
1.3375;-78.66027778;43282
1.270555556;-78.49138889;43405
6.674444444;-71.18722222;43101
1.023333333;-75.17527778;43405
7.875277778;-72.49805556;43101
1.303361111;-78.61483333;43252
7.658611111;-75.60944444;43132
1.267222222;-78.63333333;43344
1.268333333;-78.5575;43435
6.706388889;-71.12305556;43160
1.263333333;-78.56083333;43313
6.921666667;-77.18222222;43405
1.323611111;-78.56944444;43221
1.793385843;-78.76393643;43405
7.512;-75.45472222;43405
7.215555556;-75.20972222;43374
1.435277778;-78.69916667;43344
6.777222222;-71.7475;43160
6.649166667;-72.49166667;43132
1.297222222;-78.56555556;43374
7.543888889;-75.56111111;43374
6.800222222;-77.57488889;43191
2.130833333;-72.14777778;43282
1.320833333;-78.65888889;43221
1.008888889;-71.33916667;43160
7.433909044;-77.1211599;43191
8.399722222;-73.20444444;43252
6.659166667;-71.48861111;43435
1.273333333;-78.63694444;43405
